[2020-02-24 00:01:01,638] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:03:16,758] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:16,918] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:17,069] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:17,227] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:17,399] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:17,573] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:18,180] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:18,345] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:18,515] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:19,036] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:19,432] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:03:19,810] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：switch_manufacturer_state
[2020-02-24 00:13:48,729] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:13:48,904] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:13:52,578] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:14:20,025] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-02-24 00:14:20,055] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-02-24 00:14:20,066] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 00:14:20,088] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:14:25,486] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:15:41,642] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-02-24 00:15:41,655] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-02-24 00:15:41,689] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:15:41,703] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 00:15:44,851] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:15:48,062] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-02-24 00:15:48,071] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:15:48,078] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-02-24 00:15:48,111] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 00:15:49,330] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:15:52,957] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 00:15:53,039] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 00:17:05,429] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 00:17:05,503] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 00:19:14,863] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：del_batch_manufacturer
[2020-02-24 00:19:14,887] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:19:17,393] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：del_batch_manufacturer
[2020-02-24 00:19:17,413] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:19:23,582] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:23,737] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:23,876] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:24,459] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:24,647] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:24,848] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:25,222] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:25,424] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:25,555] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:25,660] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:25,831] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 00:19:27,290] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:27,571] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:27,766] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:28,355] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:28,488] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:28,929] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:29,073] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:29,225] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:30,207] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:30,466] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:30,973] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:31,594] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:32,505] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:32,968] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:33,095] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:33,734] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:34,296] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 00:19:39,574] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：create_manufacturer
[2020-02-24 00:19:40,356] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 00:19:49,400] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 00:20:04,130] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:27:08,501] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-02-24 15:27:08,507] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-02-24 15:27:08,515] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:27:08,536] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:27:13,511] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 15:27:36,083] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 15:27:38,537] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:27:46,140] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 15:28:11,146] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：del_batch_manufacturer
[2020-02-24 15:28:11,180] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:28:18,494] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:18,641] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:18,803] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:19,539] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:19,743] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:19,923] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:20,332] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:20,439] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:20,552] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:20,559] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:20,727] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:21,069] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:21,215] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:21,732] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_email_unique
[2020-02-24 15:28:22,860] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:22,889] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:23,048] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:23,182] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:23,709] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:23,828] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:23,986] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:24,126] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:24,410] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:24,793] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:25,258] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:25,607] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:25,774] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:25,856] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:26,807] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:27,114] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:27,428] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:27,704] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:28,193] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:29,486] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:29,570] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：check_phone_unique
[2020-02-24 15:28:33,704] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：create_manufacturer
[2020-02-24 15:28:34,689] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:28:44,539] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 15:28:48,948] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 15:28:49,001] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 15:29:23,684] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:24,189] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:24,812] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:25,063] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:25,354] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:26,084] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:26,450] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:26,708] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:27,484] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:27,755] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:28,019] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:28,710] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:28,964] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:29,187] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:31,120] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:31,428] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:31,655] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:32,265] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:32,736] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:32,958] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:33,187] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:29:34,936] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:29:35,253] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:30:12,725] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 15:30:14,081] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 15:30:24,357] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：file_upload
[2020-02-24 15:30:24,367] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：import_admin
[2020-02-24 15:31:40,376] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：file_upload
[2020-02-24 15:31:40,386] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：import_admin
[2020-02-24 15:32:16,462] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：file_upload
[2020-02-24 15:32:16,476] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：import_admin
[2020-02-24 15:34:31,240] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：file_upload
[2020-02-24 15:34:31,249] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：import_manufacturer
[2020-02-24 16:56:01,378] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 16:56:01,419] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 16:56:26,020] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 16:56:26,545] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 16:56:26,687] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 16:56:26,843] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 16:56:27,017] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 16:56:27,184] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 16:59:27,385] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 16:59:31,542] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 16:59:31,587] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 17:00:52,679] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 17:00:52,717] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 17:01:33,329] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-24 17:01:34,349] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_admin
[2020-02-24 17:01:34,382] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 17:08:06,481] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_admin
[2020-02-24 17:08:06,520] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 17:08:26,028] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 17:08:27,473] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 17:08:27,507] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 17:27:10,004] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：export_manufacturer
[2020-02-24 17:27:10,048] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：download_file
[2020-02-24 17:27:56,619] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：file_upload
[2020-02-24 17:27:56,628] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：import_manufacturer
[2020-02-24 17:30:27,514] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：file_upload
[2020-02-24 17:30:27,525] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：import_manufacturer
[2020-02-24 17:30:28,589] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 17:30:32,484] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 17:30:36,033] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 17:35:03,706] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 17:35:06,128] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 17:35:09,845] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 17:35:13,298] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
[2020-02-24 17:36:56,536] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：file_upload
[2020-02-24 17:36:56,545] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：import_manufacturer
[2020-02-24 17:37:05,976] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-02-24 17:37:10,193] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_manufacturer
